sup_name,sup_dist,sup_dist_name,sup_dist_num,sup_dist_pad,data_as_of,data_loaded_at
Ahsha Safai,11,SUPERVISORIAL DISTRICT 11,11,11,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Shamann Walton,10,SUPERVISORIAL DISTRICT 10,10,10,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Hillary Ronen,9,SUPERVISORIAL DISTRICT 9,9,9,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Joel Engardio,4,SUPERVISORIAL DISTRICT 4,4,4,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Myrna Melgar,7,SUPERVISORIAL DISTRICT 7,7,7,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Rafael Mandelman,8,SUPERVISORIAL DISTRICT 8,8,8,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Matt Dorsey,6,SUPERVISORIAL DISTRICT 6,6,6,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Dean Preston,5,SUPERVISORIAL DISTRICT 5,5,5,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Connie Chan,1,SUPERVISORIAL DISTRICT 1,1,1,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Catherine Stefani,2,SUPERVISORIAL DISTRICT 2,2,2,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
Aaron Peskin,3,SUPERVISORIAL DISTRICT 3,3,3,07/26/2022 07:07:52 PM,07/26/2022 12:11:00 PM
